API_NUMBER,DA_STATUS_NUMBER,OPERATOR_NAME,LEASE_NAME,center_lat_wgs84,center_lon_wgs84,min_lat_wgs84,max_lat_wgs84,min_lon_wgs84,max_lon_wgs84
542561,0908380,"TRIPLE CROWN RESOURCES, LLC",IVERSITY LANDS 225 SOUTH      09,30.971811,101.112426,30.971124186813185,30.972497813186813,101.11162497749828,101.11322702250172
542562,0908381,"TRIPLE CROWN RESOURCES, LLC",IVERSITY LANDS 225 SOUTH      09,30.971810,101.112363,30.971122786813186,30.972496413186814,101.11156147751002,101.11316352248998
542563,0908382,"TRIPLE CROWN RESOURCES, LLC",IVERSITY LANDS 225 SOUTH      09,30.971812,101.112299,30.971125186813186,30.972498813186814,101.11149797748988,101.11310002251011
932722,0790627,CIMAREX ENERGY CO.,YDE VAN DUSEN 12 UNIT         10,31.862726,104.116909,31.862038786813187,31.863412413186815,104.11610073307095,104.11771806692904
932722,0790627,CIMAREX ENERGY CO.,YDE VAN DUSEN 12 UNIT         10,31.862726,104.116909,31.862038786813187,31.863412413186815,104.11610073307095,104.11771806692904
932847,0805008,CIMAREX ENERGY CO.,PHOON 42 UNIT                 10,31.894937,104.205931,31.894249786813187,31.895623413186815,104.20512195027669,104.2067398497233
934500,0908618,"PERMIAN RESOURCES OPERATING, LLC",LI VON SHTUPP STATE           10,31.786126,104.361610,31.785439386813188,31.786813013186816,104.36080170375158,104.36241769624843
533982,0898714,"BIRCH OPERATIONS, INC.",OROS 37-48 A                  10,32.581715,101.715328,32.58102858681319,32.58240221318681,101.71451321171585,101.71614338828414
534077,0908432,"PINON OPERATING II, LLC",LO COUNTRY 45-09 B            10,32.627652,101.990688,32.62696518681319,32.62833881318681,101.98987249360722,101.99150350639279
335596,0908200,BPX OPERATING COMPANY,FFERT A-GWOSDZ A SA 1         02,29.048137,-97.649619,29.047450345709606,29.048823972083234,-97.6504047563364,-97.64883348273182
335622,0908932,BPX OPERATING COMPANY,SISTERS B                     02,29.087755,-97.512874,29.087067798372388,29.088441424746016,-97.51365993481275,-97.51208805716928
335620,0908930,BPX OPERATING COMPANY,SISTERS B-H SISTERS A SA 1    02,29.087838,-97.512874,29.087150795757402,29.08852442213103,-97.5136598356798,-97.5120879567696
335621,0908931,BPX OPERATING COMPANY,SISTERS B-H SISTERS A SA 2    02,29.087796,-97.512874,29.087109597054447,29.088483223428074,-97.51366033526205,-97.51208845698065
335623,0908934,BPX OPERATING COMPANY,SISTERS B-H SISTERS A SA 3    02,29.087714,-97.512875,29.087027099651927,29.088400726025554,-97.51366123442267,-97.51208935740036
335624,0908935,BPX OPERATING COMPANY,SISTERS B-H SISTERS A SA 4    02,29.087673,-97.512876,29.086985800952135,29.088359427325763,-97.51366173400389,-97.51208985761188
